day,date,portfolio_value,daily_return_pct,cumulative_return_pct
66,2024-12-02,678772.39,0.7923,-32.1228
67,2024-12-03,671136.59,-1.1249,-32.8863
68,2024-12-04,671517.97,0.0568,-32.8482
69,2024-12-05,673079.85,0.2326,-32.692
70,2024-12-06,671582.42,-0.2225,-32.8418
71,2024-12-09,675671.73,0.6089,-32.4328
72,2024-12-10,679013.76,0.4946,-32.0986
73,2024-12-11,691827.61,1.8871,-30.8172
74,2024-12-12,695466.44,0.526,-30.4534
75,2024-12-13,692284.53,-0.4575,-30.7715
76,2024-12-16,689380.82,-0.4194,-31.0619
77,2024-12-17,685001.43,-0.6353,-31.4999
78,2024-12-18,690425.4,0.7918,-30.9575
79,2024-12-19,687501.68,-0.4235,-31.2498
80,2024-12-20,687321.5,-0.0262,-31.2679
81,2024-12-23,693364.17,0.8792,-30.6636
82,2024-12-24,687206.02,-0.8882,-31.2794
83,2024-12-25,684646.94,-0.3724,-31.5353
84,2024-12-26,669382.44,-2.2295,-33.0618
85,2024-12-27,660553.45,-1.319,-33.9447
86,2024-12-30,655921.1,-0.7013,-34.4079
87,2024-12-31,659062.39,0.4789,-34.0938
88,2025-01-01,668369.62,1.4122,-33.163
89,2025-01-02,668087.83,-0.0422,-33.1912
90,2025-01-03,670049.59,0.2936,-32.995
91,2025-01-06,671266.15,0.1816,-32.8734
92,2025-01-07,679869.7,1.2817,-32.013
93,2025-01-08,687022.1,1.052,-31.2978
94,2025-01-09,689141.1,0.3084,-31.0859
95,2025-01-10,680643.07,-1.2331,-31.9357
96,2025-01-13,687885.54,1.0641,-31.2114
97,2025-01-14,690893.36,0.4373,-30.9107
98,2025-01-15,700927.41,1.4523,-29.9073
99,2025-01-16,700535.68,-0.0559,-29.9464
100,2025-01-17,716814.18,2.3237,-28.3186
101,2025-01-20,713583.84,-0.4507,-28.6416
102,2025-01-21,727082.51,1.8917,-27.2917
103,2025-01-22,727941.51,0.1181,-27.2058
104,2025-01-23,723286.15,-0.6395,-27.6714
105,2025-01-24,713347.21,-1.3741,-28.6653
106,2025-01-27,711911.69,-0.2012,-28.8088
107,2025-01-28,723928.66,1.688,-27.6071
108,2025-01-29,730875.83,0.9596,-26.9124
109,2025-01-30,736771.52,0.8067,-26.3228
110,2025-01-31,715618.46,-2.871,-28.4382
111,2025-02-03,721580.69,0.8332,-27.8419
112,2025-02-04,726249.48,0.647,-27.3751
113,2025-02-05,721311.63,-0.6799,-27.8688
114,2025-02-06,715736.89,-0.7729,-28.4263
115,2025-02-07,715573.9,-0.0228,-28.4426
116,2025-02-10,730242.1,2.0499,-26.9758
117,2025-02-11,720850.3,-1.2861,-27.915
118,2025-02-12,717005.53,-0.5334,-28.2994
119,2025-02-13,728579.02,1.6141,-27.1421
120,2025-02-14,724532.63,-0.5554,-27.5467
121,2025-02-17,721220.78,-0.4571,-27.8779
122,2025-02-18,721922.75,0.0973,-27.8077
123,2025-02-19,711024.99,-1.5095,-28.8975
124,2025-02-20,712759.42,0.2439,-28.7241
125,2025-02-21,702270.88,-1.4715,-29.7729
126,2025-02-24,709590.21,1.0422,-29.041
127,2025-02-25,709475.38,-0.0162,-29.0525
